taxi_id,trip_seconds,trip_miles,fare,tips,trip_total,payment_type
85,180,0.4,4.5,0,4.5,1
2776,240,0.7,4.45,4.45,8.9,2
3168,0,0,42.75,5,47.75,2
4237,480,1.1,7,0,7,1
5710,480,2.71,10.25,0,10.25,1
1987,1080,6.2,17.75,0,17.75,1
4986,1500,18.4,45,12,57,2
6400,60,0.2,3.75,0,3.75,1
7418,180,0,5,2,8.5,2
6450,0,0,3.25,0,4.75,1
1078,480,1.3,7,1,8,2
6641,420,0,7.25,0,7.25,1
920,1380,5.1,17.25,5.18,22.43,2
7984,420,0,6.25,0,6.25,1
6078,480,0.1,9,0,9,1
221,720,0,10.75,0,10.75,1
6535,720,2.2,10,0,10,1
5292,300,0.8,5.5,0,5.5,1
5367,420,0,6.75,0,6.75,1
4251,660,4.1,11.85,3,15.85,2
3428,720,2.5,10.25,1.75,12,2
5132,720,0.2,12.25,2,15.25,2
8414,0,0,3.25,0,3.25,1
2647,360,0,6.5,0,6.5,1
2628,0,0,10.75,2.69,13.44,2
8613,1740,11.5,31.25,0,35.25,1
4126,360,0,6,0,6,1
3102,0,0,22,1.5,23.5,2
4488,2040,17.4,44.75,8.95,53.7,2
146,180,0.7,5,2,7,2
373,240,0.6,4.85,0,6.35,1
5540,600,0.9,7,1.11,8.11,2
2913,840,0.4,20,2,22,2
5680,1020,7.8,18.85,0,18.85,1
4545,0,0,0,0,0,1
5391,420,2.8,9.5,0,9.5,1
5901,360,0,7,2,10,2
4316,360,1.3,6.5,2,8.5,2
6468,540,0.78,7,0,8,1
3329,0,0,3.25,0.65,3.9,0
8102,480,1.6,7.75,0,7.75,1
3786,180,0.6,4.75,0,4.75,1
2862,0,0,3.25,0,3.25,1
7145,360,0.9,6.25,2,8.25,2
7744,120,0.2,4,0,5,1
8191,480,0,8.5,2,10.5,2
1727,720,1.3,9,1,10,2
6907,420,1.4,7,0,7,1
8162,2880,17.3,43.5,9.5,57,2
8618,420,0,7,0,9,1
5178,960,3.5,12.5,0,13.5,1
8247,360,0.9,6.25,0,6.25,1
8591,360,1.2,6.5,2,9.5,2
4751,360,0.8,5.45,1,6.45,2
2438,900,5.5,15.25,0,15.25,1
5209,480,1.2,7,1,8,2
1005,540,3.8,10.85,0,12.35,1
746,2940,21.1,52.25,0,56.25,1
7271,420,1.3,6.75,0,7.75,1
6075,240,0.9,5.5,0,6.5,1
7837,2100,13.6,36.25,8.05,48.3,2
7056,0,0,15.75,3.94,19.69,2
5810,240,0.87,5.5,2,7.5,2
5258,480,1.4,7.25,0,7.25,1
3567,1020,1.4,11.25,0,11.25,1
65,660,2.1,9,0,9,1
1474,1320,5.7,18.75,3.75,22.5,2
2924,780,4.5,14,0,15,1
433,0,0,3.25,5,17.25,2
4605,300,0.5,5.25,0,9.25,1
2353,0,0,8,0,8,2
8353,720,1.5,8.75,0,8.75,1
1748,360,0,6.25,0,7.25,1
6046,1560,9.7,27.25,0,28.25,1
1671,1560,6.9,21.25,3,24.25,2
7215,420,1.7,7.5,0,7.5,1
5272,540,200,8.75,2,10.75,2
8285,180,0,5.25,0,5.25,1
6628,960,7.6,21,0,21,1
7152,0,0,12.25,2.45,14.7,2
2043,660,1,7.5,2,10.5,2
7310,300,1,6,0,6,1
7152,0,0,4.25,1.06,5.31,2
6016,0,0,3.25,0,3.25,1
734,420,0,6.25,0,7.25,2
2979,900,3.8,13,0,13,1
6088,360,0.8,5.75,0,5.75,1
2331,600,5.5,16.5,0,16.5,1
2147,900,7,20.25,2,22.25,2
4298,300,0,6.5,0,6.5,1
2542,0,0,14.25,2.85,17.1,2
5018,720,3.7,12.5,2.5,15,2
1603,900,0.3,18,3.6,21.6,2
8169,2760,18.3,46.25,10.05,60.3,2
8394,420,1.9,8.25,2,11.25,2
6535,1500,18.2,45.25,0,46.25,1
3047,0,0,6.75,1.35,8.1,2
7330,420,2.1,8.25,0,8.25,1
1952,420,1.3,7,0,7,1
3993,1800,5.1,18.25,3.65,21.9,2
6966,120,0,4,0,5,1
4950,960,0.3,17.25,3.45,20.7,2
3742,840,2.7,10.75,0,10.75,1
3690,0,0,46.5,4,50.5,2
5487,840,3.2,12,0,12,1
7956,0,0,14.25,0,14.25,2
5224,780,3.1,11.75,0,11.75,1
8264,660,2,9.25,0,10.25,1
1535,420,1.2,7,0,8,1
6411,480,0,9,0,9,2
8271,180,0.8,5.25,3,8.25,2
6577,1320,17.6,43,0,46,1
495,0,0,10.65,2.13,12.78,2
5971,1980,18.1,45.5,10.1,60.6,2
2527,540,1.8,8.75,2,10.75,2
3060,540,1.7,7.45,0,7.45,1
5412,720,0.1,8.25,2.55,12.8,2
1947,840,5.4,16.25,0,17.25,1
4545,0,0,6.5,1.3,7.8,2
2197,240,0.8,5.5,0,7,1
6372,0,0,11.25,2.25,13.5,2
1222,1020,0.2,13.75,2.95,17.7,2
8620,0,0,6.25,1.25,7.5,2
5018,480,2.8,10,0,10,1
812,840,0.1,11.25,0,12.25,1
322,0,0,10.75,2.15,12.9,2
6003,420,1.4,6.25,1,7.25,2
5257,420,1.3,6.5,0,6.5,1
2330,540,0,7.5,0,7.5,1
8020,180,1.1,5.75,2,8.75,2
790,60,0,3.75,0,5.75,1
2736,480,0,6.25,2,8.25,2
1990,0,0,3.25,0,3.25,1
5950,360,1.2,6.5,2,8.5,2
1660,240,0.5,4.75,0,4.75,1
2282,300,1.1,6.25,1,8.25,2
4187,420,1.3,7.25,0,8.25,1
55,1080,0,21,0,21,1
4161,60,0.2,3.75,0,3.75,1
7271,540,1.6,8.25,0,9.25,1
1045,2880,14.7,41,9,54,2
2774,540,0.1,8.5,0,8.5,1
4047,480,1.6,7.5,0,7.5,1
5194,300,0.8,5.5,0,7,1
3582,900,0,11.5,2.85,14.35,2
7029,540,2.1,9,0,9,1
55,480,0,6.5,3,9.5,2
5402,360,1.4,6.45,0,7.45,1
336,480,1.1,7,0,8,1
786,540,1.5,7.75,2,9.75,2
7359,0,0,8.25,1,9.25,2
6075,420,1.2,6.75,0,8.75,1
1729,1860,0,42.25,6,48.25,2
1061,120,0.2,3.75,0,5.25,1
4771,0,0,6.25,1.25,7.5,2
8672,240,0.4,4.5,0,4.5,1
5460,660,1.4,8.25,0,8.25,1
7661,1860,17.34,42.65,9.33,55.98,2
8035,180,0.7,5,0,5,1
758,420,1.1,6.75,1,7.75,2
4066,360,0.7,5.75,0,5.75,1
6824,600,1.4,8,2,10,2
5910,720,0,7.75,0,7.75,1
105,1560,0.7,32.75,9.15,45.9,2
4110,960,4.2,12.45,0,12.45,1
2000,3420,18,46.25,12.56,62.81,2
6429,1320,9.5,25.25,0,25.25,1
731,720,6.4,18.5,0,18.5,1
5268,240,0.6,5,0,6,1
7106,0,0,3.25,0,3.25,1
1924,600,0.2,11.25,2,14.25,2
6290,300,1.1,6.25,0,6.25,1
1859,0,0,6.25,1,7.25,2
6692,660,2,9.5,0,9.5,1
1152,1380,0.9,39,0,44,2
1513,360,1,6,2,8,2
2785,360,0.7,5.75,2,9.25,2
6973,420,1,6.5,0,6.5,1
1715,720,5.2,16,3.2,19.2,2
27,1860,0,46,10,60,2
2802,480,2.2,9,0,10.5,1
4832,360,2.5,9.25,2,11.25,2
281,480,1.4,7.25,0,7.25,1
192,660,2.8,10.75,2.15,12.9,2
3924,720,3.9,13.5,4.05,17.55,2
1055,480,1,6.5,0,6.5,1
96,1320,17.83,43.75,9.15,54.9,2
4284,120,0.5,4.5,0,4.5,1
7769,240,0.9,5.75,2,7.75,2
5239,180,1.5,6.75,0,6.75,1
6922,540,1.4,7.25,2,9.25,2
4167,2400,17.8,45.25,9,56.25,2
8645,1140,16.9,41.25,5,50.25,2
5641,480,0.9,6.5,0,6.5,1
156,240,0.69,5,2,7,2
4170,480,1.1,7.25,3,10.25,2
8422,180,0.5,4.5,0,5.5,1
4918,300,0,5.75,2,9.75,2
923,1800,14.3,36.25,0,40.25,1
7504,420,1.14,6.5,0,6.5,1
5607,1140,5.4,15.65,0,16.65,1
2640,420,0.1,7.75,0,8.75,1
1581,1020,9.5,25.25,5.85,35.1,2
1856,0,0,90,0,90,2
5857,540,3.3,11.25,3.35,14.6,2
2630,420,1.2,6.75,1,7.75,2
7723,1140,0,12,0,13.5,1
6060,300,1,6.25,1,7.25,2
5262,2400,0,43.5,0,49.5,1
7436,780,2.5,10.5,2,12.5,2
6753,900,0.3,17,3,20,2
6940,360,1.3,6.5,2,8.5,2
2595,600,4.9,14.75,2.95,17.7,2
189,1620,5.1,19,0,19,1
2229,960,2,10.25,0,11.75,1
3089,660,0,11.25,0,13.25,1
629,600,0,13.75,0,13.75,1
3313,660,1.1,9.25,0,9.25,1
5698,1560,16.5,41.75,8.65,51.9,2
5292,1140,1.4,11,0,11,1
943,660,0,9,2,11,2
5309,180,0,4.75,0,4.75,1
6404,360,0.36,5.75,2,7.75,2
2527,960,3.6,13.25,2.65,15.9,2
8749,2760,18.8,46,10,60,2
5643,420,1.6,6.85,2,8.85,2
8635,0,0,35.25,7,42.25,2
7106,1500,15.7,40,8,48,2
246,0,0,9.5,1.9,11.4,2
2259,540,2.3,9.25,0,11.75,1
3736,540,1.5,7.75,3,11.75,2
5517,1140,1.6,11,3,14,2
5679,840,5.2,16,2,18,2
5397,600,2.9,10.75,1,11.75,2
5108,600,1.1,7.5,2,9.5,2
4044,300,0,6,0,6,1
281,360,1.1,6.5,1,8.5,2
1813,1020,7.1,20.25,0,20.25,1
4229,600,1.7,8.5,0,9.5,1
7912,480,1.32,7.25,2,9.25,2
2671,1440,4.6,16.75,3.35,20.1,2
3577,420,0.8,6.25,0,6.25,1
862,180,0,4,2,6,2
1838,420,0,6.75,1,7.75,2
1403,720,2.1,9.25,1,10.25,2
370,180,0,5,0,5,1
8751,420,1.9,8.5,2,10.5,2
2582,0,0,3.25,0,3.25,1
5011,1740,19.9,48.25,0,52.25,1
5839,420,1.2,6.75,0,6.75,1
2309,1680,18.5,46.5,0,73.5,2
8241,180,0.7,4.75,0,6.25,1
1726,780,0,8.25,2,10.25,2
7307,1800,18.71,47,5,56,2
2708,960,8.1,22.25,6.65,28.9,2
5110,240,0.9,5.75,1,6.75,2
4825,360,1.4,6.75,2,8.75,2
5289,480,1.4,7.75,2,9.75,2
8054,480,1.2,7,0,7,1
1408,0,0,15.25,3.05,18.3,2
907,600,5.2,15.5,0,15.5,1
5166,300,1.5,6.75,2,8.75,2
3013,120,0.6,4.5,2,7.5,2
475,420,0.88,6.5,4,10.5,2
246,0,0,8.25,1.65,9.9,2
5697,120,0.7,4.75,0,4.75,1
7937,180,0.3,4.25,3,7.25,2
7187,540,1.5,7.75,0,9.25,1
5042,0,0,36,6,42,2
6859,0,0,10.5,2.1,12.6,2
1385,540,0,8.75,0,8.75,1
8274,300,0,5.5,0,5.5,1
4444,1920,0.9,37.25,0,38.25,1
7926,540,1.1,7,2,9,2
6706,240,0.9,5.25,0,6.75,1
209,1380,9.2,26,0,26,1
2184,1500,16.1,40.25,10.06,50.31,2
6713,240,0.9,5.5,0,6.5,1
4643,240,0.6,5,0,6.5,1
5431,300,0,5.5,0,5.5,1
2952,600,2.6,10.25,0,11.25,1
2240,540,0,9.5,0,10.5,1
4462,0,0,5.25,1.05,6.3,2
3912,300,1,6,0,6,1
4618,660,3.5,12.25,0,12.25,1
2816,540,1.9,9,4,14,2
2578,300,0.7,5.75,1,6.75,2
2702,540,1.3,7.75,0,8.75,1
8648,420,0,6.75,2,8.75,2
3254,840,3.3,12.25,3,15.25,2
7131,720,4.4,11.65,0,12.65,2
5874,0,0,13,2.6,15.6,2
8289,840,6.1,17.75,3.55,21.3,2
2865,180,0,4.5,2,7.5,2
7379,1860,0.9,38,8.4,50.4,2
5272,120,40,4.25,0,4.25,1
7238,0,0,3.25,0,3.25,1
4283,1560,13.5,35.5,4,43.5,2
1556,240,0.8,5.5,2,7.5,2
8059,720,0,9.75,0,9.75,4
7427,600,0.1,8.75,0,8.75,1
291,420,0,6.75,2,9.75,2
2014,240,0.9,5.5,0,5.5,1
5951,960,5,16,0,16,1
5256,480,1.4,7.5,0,7.5,1
249,480,3.2,11,0,11,1
3870,540,2.1,8.75,1,9.75,2
516,540,0.8,6.75,3,9.75,2
5843,540,1.32,7.5,0,7.5,1
7473,360,0,5.25,1,6.25,2
4894,600,0,8.65,0,8.65,1
5630,300,0.6,5.25,0,6.75,1
